text,text_with_marker,Sentiment,Regard,SDG16_danger_score,danger_label
GOOGLE LEAK #5    About 36 percent of the Googlers surveyed more or less agree with the author of the document criticizing Google's SJW diversity doctrine.,GOOGLE LEAK #5    About 36 percent of the Googlers surveyed more or less agree with the author of the document criticizing Google's SJW diversity doctrine.,negative,negative,0.0013,
Speaks for itself... ,Speaks for itself... ,neutral,neutral,0.0009,
I'm more concerned with Der Fuhrer stealing my Nutella,I'm more concerned with Der Fuhrer stealing my Nutella,negative,negative,0.0029,
Wrong!  Making amazing finger food.  Obviously not a Saxon.,Wrong!  Making amazing finger food.  Obviously not a Saxon.,negative,neutral,0.0006,
"The Left has to presume its enemies stupid, thankfully we don’t delude ourselves by such arrogance.","The Left has to presume its enemies stupid, thankfully we don’t delude ourselves by such arrogance.",negative,negative,0.8478,potentially threatening_content
Cupcake  Im old and i dont suffer stupid people at all..nor do i tolerate people who refuse to think for themselves  Trying to reason with a stupid braindead idiot is just like spinning ones wheels in the sand...you will never get anywhere.. ,Cupcake  Im old and i dont suffer stupid people at all..nor do i tolerate people who refuse to think for themselves  Trying to reason with a stupid braindead idiot is just like spinning ones wheels in the sand...you will never get anywhere.. ,negative,negative,0.9955,potentially threatening_content
I bet that little punk Jew cried and whimpered a helluva lot while he received his just desserts.,I bet that little punk Jew cried and whimpered a helluva lot while he received his just desserts.,negative,negative,0.0021,
The ignored Romanian exodus ,The ignored Romanian exodus ,neutral,negative,0.0009,
"for a ""grown up"" I sure do giggle to myself while randomly thinking about midgets a lot.","for a ""grown up"" I sure do giggle to myself while randomly thinking about midgets a lot.",neutral,neutral,0.0008,
I remember talking with cam whores about maths and stuff. Those were the times.,I remember talking with cam whores about maths and stuff. Those were the times.,neutral,negative,0.0013,
"Tin Man.  I'm the Tin Man, That's my part. Like the Tin Man, I've no heart.  I'm still single, Though I'm old. Humans, animals, Leave me cold.  Like Sinatra, It's My Way: Friend of Dorothy, But not gay.","Tin Man.  I'm the Tin Man, That's my part. Like the Tin Man, I've no heart.  I'm still single, Though I'm old. Humans, animals, Leave me cold.  Like Sinatra, It's My Way: Friend of Dorothy, But not gay.",neutral,negative,0.0029,
I like wing Chung kick boxing   you #anon spindle legs,I like wing Chung kick boxing   you #anon spindle legs,positive,neutral,0.0008,
"The Chinese government owns over half of Shenzhen Brosensing Technology Company, one of the largest surveillance camera manufacturers  In the US, Shenzhen Brosensing Technology Company is known as a company called Hikvision  ","The Chinese government owns over half of Shenzhen Brosensing Technology Company, one of the largest surveillance camera manufacturers  In the US, Shenzhen Brosensing Technology Company is known as a company called Hikvision  ",neutral,positive,0.0017,
Christians flogged in Indonesia for playing game considered anti-Islamic   @retrogradepro @CPMPolls @GrandmaLynn2122 @Jasman777 @BZN @Esgaroth @shadowkhukuri @GoldSilverLiberty @Feralfilly @Neltus @Rodders @PeachFlame @fgrump @vanderfk @nuuzfeed @BabygirlPiper,Christians flogged in Indonesia for playing game considered anti-Islamic   @retrogradepro @CPMPolls @GrandmaLynn2122 @Jasman777 @BZN @Esgaroth @shadowkhukuri @GoldSilverLiberty @Feralfilly @Neltus @Rodders @PeachFlame @fgrump @vanderfk @nuuzfeed @BabygirlPiper,negative,negative,0.0008,
I believe it is a bergenia,I believe it is a bergenia,neutral,neutral,0.0013,
If this is an example of they women that the #altRetards attract to defend I may be staring to see why they hold the views on women they do...,If this is an example of they women that the #altRetards attract to defend I may be staring to see why they hold the views on women they do...,negative,negative,0.0007,
♥ #NationalPuppyDay ♥,♥ #NationalPuppyDay ♥,positive,neutral,0.0008,
"First it was I inherited this economy from Bush Then it was get used to this . Those job won't be coming back. This is the new norm. Now it's I built this booming economy. me, me, me, me! Which is it Barry?","First it was I inherited this economy from Bush Then it was get used to this . Those job won't be coming back. This is the new norm. Now it's I built this booming economy. me, me, me, me! Which is it Barry?",neutral,positive,0.0009,
"That is true, I had forgotten about that dirty move and it sure did affect 9/11/01!","That is true, I had forgotten about that dirty move and it sure did affect 9/11/01!",negative,negative,0.0008,
I'm all for it if we start with removing or at least sterilizing the 1% of the 1% and all of their servants in the Deep State.,I'm all for it if we start with removing or at least sterilizing the 1% of the 1% and all of their servants in the Deep State.,neutral,negative,0.0009,
"Joke's on them, I have no desire to do any of those things! :D","Joke's on them, I have no desire to do any of those things! :D",negative,negative,0.0007,
jew god a jew invention/hoax,jew god a jew invention/hoax,neutral,negative,0.0008,
Now if a man looks at a girl without permission it's called rape. That's why there are so many more so-called rapes this year than last. It's become fashionable to be raped. Women want to be like celebrities who are all #metoo.   ,Now if a man looks at a girl without permission it's called rape. That's why there are so many more so-called rapes this year than last. It's become fashionable to be raped. Women want to be like celebrities who are all #metoo.   ,negative,negative,0.0009,
"That is true, the UK is not the UK anymore its a shithole that is awful to live in.","That is true, the UK is not the UK anymore its a shithole that is awful to live in.",negative,negative,0.0087,
The bear needed the eagles help obvious really because they where soooo tough  no matter how  much the bear Jewed and jewed he couldn't break them open,The bear needed the eagles help obvious really because they where soooo tough  no matter how  much the bear Jewed and jewed he couldn't break them open,negative,positive,0.0118,potentially expressed_hostility
  ＤＥＥＰＥＳＴ　ＢＬＵＥ   USS Nimitz is sitting in port. {Reportedly},  ＤＥＥＰＥＳＴ　ＢＬＵＥ   USS Nimitz is sitting in port. {Reportedly},neutral,neutral,0.0006,
"Not sure, but I would have put them all in a cage since they're all dangerous forms of African wildlife. Better be safe than sorry!","Not sure, but I would have put them all in a cage since they're all dangerous forms of African wildlife. Better be safe than sorry!",negative,negative,0.0015,
It's the beta for the American version. When the American Version comes out Google will go the same was as Twitter and Facebook. They will be replaced by an upstart that does uncensored searches.   ,It's the beta for the American version. When the American Version comes out Google will go the same was as Twitter and Facebook. They will be replaced by an upstart that does uncensored searches.   ,neutral,neutral,0.0006,
You gotta check out this letter to Schumer...it's awesome! Lifelong Democratic Lawmaker Vows To Support Only Republicans Until Dems Return to Sanity and Honesty;  ,You gotta check out this letter to Schumer...it's awesome! Lifelong Democratic Lawmaker Vows To Support Only Republicans Until Dems Return to Sanity and Honesty;  ,positive,positive,0.0007,
German Police Raided a Mosque and this is what they found-Jihadis were trying to Hide it   Islam + Liberalism = Cancer  ,German Police Raided a Mosque and this is what they found-Jihadis were trying to Hide it   Islam + Liberalism = Cancer  ,negative,negative,0.0009,
If you follow James Woods on here I now follow you we are working on finding all the twitter followers we lost and this is a great way to start!,If you follow James Woods on here I now follow you we are working on finding all the twitter followers we lost and this is a great way to start!,positive,positive,0.0006,
"So, like what. 1/6 of the country...  Good luck, I'm not sure the jail sells will hold 😂  They will probably do just fine actually😂🇱🇷👍","So, like what. 1/6 of the country...  Good luck, I'm not sure the jail sells will hold 😂  They will probably do just fine actually😂🇱🇷👍",positive,neutral,0.0006,
Letters of Gratitude - from the public to  #Military  #Potus  #Q  #Qaon  ,Letters of Gratitude - from the public to  #Military  #Potus  #Q  #Qaon  ,neutral,neutral,0.0007,
"Good Christians pray for their enemies, like so: God, Almighty let us deliver unto them a 1000-fold what they have wished upon us. Amen.","Good Christians pray for their enemies, like so: God, Almighty let us deliver unto them a 1000-fold what they have wished upon us. Amen.",positive,positive,0.0006,
And? Not beheading Christians. Not mutilating young girls. Not stabbing infidels.   You’re too sensitive for social media Scooter. Better take up miniature golf. ,And? Not beheading Christians. Not mutilating young girls. Not stabbing infidels.   You’re too sensitive for social media Scooter. Better take up miniature golf. ,negative,negative,0.0006,
"Has anyone downloaded the new chat app from Safaricom which incorporates mpesa transactions as an integral part of the service? It looks good, and anything which moves away from Facebook’s WhatsApp is good news IMO. ","Has anyone downloaded the new chat app from Safaricom which incorporates mpesa transactions as an integral part of the service? It looks good, and anything which moves away from Facebook’s WhatsApp is good news IMO. ",positive,positive,0.0007,
THE REAL bill clinton  EVIL father & THIS LOAD DIDN'T END UP IN MONICA'S MOUTH,THE REAL bill clinton  EVIL father & THIS LOAD DIDN'T END UP IN MONICA'S MOUTH,neutral,negative,0.9909,potentially threatening_content
"A followup note to the volcanic & Earthquake activity on the West Coast & around the world that all needs to be brought to your attention. Use alt news, find persons reporting this constantly increasing activity. USGS downgraded the magnitude scale about 7 or so years ago & at the same time did not report all earthquakes. intentional Under reporting","A followup note to the volcanic & Earthquake activity on the West Coast & around the world that all needs to be brought to your attention. Use alt news, find persons reporting this constantly increasing activity. USGS downgraded the magnitude scale about 7 or so years ago & at the same time did not report all earthquakes. intentional Under reporting",neutral,neutral,0.0007,
Yes and what IS the difference between an opinion and abuse?  When you speak your opinion?,Yes and what IS the difference between an opinion and abuse?  When you speak your opinion?,neutral,negative,0.0028,
What? No throat punches yet today? It's Throat Punch Thursday!!,What? No throat punches yet today? It's Throat Punch Thursday!!,negative,neutral,0.0006,
"Guess I'm behind on the cutting edge of #LinuxDev ; what's the opinion on #VisualStudioCode as an ide on #Linux desktops?  I haven't run #Microsoft software on this workstation, ever. Should I defile her?","Guess I'm behind on the cutting edge of #LinuxDev ; what's the opinion on #VisualStudioCode as an ide on #Linux desktops?  I haven't run #Microsoft software on this workstation, ever. Should I defile her?",negative,negative,0.0006,
"You're also implying I don't fight for my ideas. You taking the piss? Fuck off. I don't sympathize with Nazis for nothing. I supported Matt and his TWP, I didn't care what they did so much. You don't have to condone everything. You can get pissed off when someone is out of line.","You're also implying I don't fight for my ideas. You taking the piss? Fuck off. I don't sympathize with Nazis for nothing. I supported Matt and his TWP, I didn't care what they did so much. You don't have to condone everything. You can get pissed off when someone is out of line.",negative,negative,0.0029,
Ibuprofen increases the risk of cardiac arrest by 30% — why do people still believe that NSAIDs are safe?   #Health #BigPharma #Meds #Drugs,Ibuprofen increases the risk of cardiac arrest by 30% — why do people still believe that NSAIDs are safe?   #Health #BigPharma #Meds #Drugs,negative,other,0.0007,
 ………..Project Veritas VIDEO: Teachers Union Presidents Caught Covering Up Child Abuse And Pedophilia Union heads cover for teachers at expense of students, ………..Project Veritas VIDEO: Teachers Union Presidents Caught Covering Up Child Abuse And Pedophilia Union heads cover for teachers at expense of students,negative,negative,0.0009,
"I know 'Lebensraum' just means living space. Absent context, there's nothing sinister about it. But using it as a proper term, you call to mind Hitler and his justifications for war. He used it to talk about *Germany's* 'living space'. His use was in a zero sum game. My use of 'more space' should not be considered 'Lebensraum'","I know 'Lebensraum' just means living space. Absent context, there's nothing sinister about it. But using it as a proper term, you call to mind Hitler and his justifications for war. He used it to talk about *Germany's* 'living space'. His use was in a zero sum game. My use of 'more space' should not be considered 'Lebensraum'",negative,negative,0.0016,
You're an idiot. In your response you claimed that the the old time financial guys created Bitcoin. That was your response to MY criticism of their attempt to crash the price or at least hold it down.,You're an idiot. In your response you claimed that the the old time financial guys created Bitcoin. That was your response to MY criticism of their attempt to crash the price or at least hold it down.,negative,negative,0.0175,potentially expressed_hostility
"Donald Trump Jr. Retweeted  Kip Herriage‏ @KHerriage  But but but...CNN said trade wars and economic Armageddon! Trump. Wins. Again. This man is (by far) the winningest president of our lifetimes. 4% + GDP and economic revolution is underway. Live and invest, accordingly. #MAGA Kip Herriage added,  CNN Breaking News @cnnbrk China will ""significantly increase"" purchases of US goods and services, according to a joint statement from both countries   11:56 am - 19 May 2018  2:37 pm - 19 May 2018","Donald Trump Jr. Retweeted  Kip Herriage‏ @KHerriage  But but but...CNN said trade wars and economic Armageddon! Trump. Wins. Again. This man is (by far) the winningest president of our lifetimes. 4% + GDP and economic revolution is underway. Live and invest, accordingly. #MAGA Kip Herriage added,  CNN Breaking News @cnnbrk China will ""significantly increase"" purchases of US goods and services, according to a joint statement from both countries   11:56 am - 19 May 2018  2:37 pm - 19 May 2018",positive,other,0.0005,
"Disgusting!! DEMOCRAT candidate Krysten Sinema calls Arizona the 'METH LAB"" of Democracy!! Do right by Arizona!! VOTE FOR Martha McSally for Senate! ","Disgusting!! DEMOCRAT candidate Krysten Sinema calls Arizona the 'METH LAB"" of Democracy!! Do right by Arizona!! VOTE FOR Martha McSally for Senate! ",negative,negative,0.0013,
This is precious! Life is precious. :-)  Thank you Gerber.,This is precious! Life is precious. :-)  Thank you Gerber.,positive,positive,0.0008,
 - Get followers on Instagram, - Get followers on Instagram,neutral,neutral,0.0006,
"Just a reminder, there is STILL no evidence that Assad EVER used chemical weapons his people. Not now, not last year, not when Obama was still in office, not EVER.","Just a reminder, there is STILL no evidence that Assad EVER used chemical weapons his people. Not now, not last year, not when Obama was still in office, not EVER.",negative,negative,0.0009,
"Not so sure about this moral  Arguably becoming a high profile figure in a widely hated dissident movement could put a lot of stress on ANY relationship  Imagine the pressure the system can exert on someone  But we need people who are willing to push on despite those costs.  If the system pressures someone and they back off, the system wins","Not so sure about this moral  Arguably becoming a high profile figure in a widely hated dissident movement could put a lot of stress on ANY relationship  Imagine the pressure the system can exert on someone  But we need people who are willing to push on despite those costs.  If the system pressures someone and they back off, the system wins",negative,negative,0.0006,
"Sometimes businesses get their customers, or maybe customers just get them. Here are 25 times when businesses got it just right! #funnypics #coolstrange #funnysigns #funnybusinesses #lolsigns  25 Times When Businesses Got It ⋆ Cool Strange ","Sometimes businesses get their customers, or maybe customers just get them. Here are 25 times when businesses got it just right! #funnypics #coolstrange #funnysigns #funnybusinesses #lolsigns  25 Times When Businesses Got It ⋆ Cool Strange ",positive,neutral,0.0011,
"Thank you very much for additional info.  I have to confess, I only get News on #GabNews.  I have not much time because I like to show posters my appreciation, my feedback and that consumes good part of my limited time. Again, I'm grateful for your kindness.","Thank you very much for additional info.  I have to confess, I only get News on #GabNews.  I have not much time because I like to show posters my appreciation, my feedback and that consumes good part of my limited time. Again, I'm grateful for your kindness.",positive,other,0.0008,
"They're all over the place between the FL GA Line and Macon, GA. ","They're all over the place between the FL GA Line and Macon, GA. ",neutral,neutral,0.0009,
"Military tribunals, Expatriation act, and NDAA indefinite detention. No right to counsel, no right to habius corpus, but they have a new soccer field in Guantanamo and lots of their favorite type of ""human"" locked in with them.","Military tribunals, Expatriation act, and NDAA indefinite detention. No right to counsel, no right to habius corpus, but they have a new soccer field in Guantanamo and lots of their favorite type of ""human"" locked in with them.",negative,negative,0.0009,
One question I get a lot from people want are setting a website for the first time is about DNS settings. It's different on different registrars but pretty much you change the DNS record to whichever nameserver your hosting service tells you. They will usually send you an email with all of the info.,One question I get a lot from people want are setting a website for the first time is about DNS settings. It's different on different registrars but pretty much you change the DNS record to whichever nameserver your hosting service tells you. They will usually send you an email with all of the info.,neutral,neutral,0.0007,
No conservative is off limits!  #AreYouKiddingMe    via @davidjharrisjr,No conservative is off limits!  #AreYouKiddingMe    via @davidjharrisjr,neutral,other,0.0009,
"Your Star Trek perpetuates the White colonial gender normative notion that space is to be ""explored"" and raped. Choose.. Scifi or Ally! Can't both.","Your Star Trek perpetuates the White colonial gender normative notion that space is to be ""explored"" and raped. Choose.. Scifi or Ally! Can't both.",negative,negative,0.0007,
BREAKING: Twitter Bans Users Under Pressure From Their Foreign Governments  ,BREAKING: Twitter Bans Users Under Pressure From Their Foreign Governments  ,negative,negative,0.0005,
 Chick-A-Boom . . Chick-A-Boom  (Don't Ya Jes Love It), Chick-A-Boom . . Chick-A-Boom  (Don't Ya Jes Love It),positive,neutral,0.0011,
Why are my posts being blocked? What did I do wrong? Can this go viral? #tweetjail help??? ,Why are my posts being blocked? What did I do wrong? Can this go viral? #tweetjail help??? ,negative,negative,0.0005,
Whoa! here it comes....  As per twitter...  ,Whoa! here it comes....  As per twitter...  ,neutral,neutral,0.0005,
Too cute not to share.💕,Too cute not to share.💕,positive,neutral,0.0007,
I moved to a rural area a yr ago in July. I've spoken to my neighbors more in 1 yr than in 10 yrs on Long Island. He helps me mow my land. You rely on each other more than in a city or suburb.,I moved to a rural area a yr ago in July. I've spoken to my neighbors more in 1 yr than in 10 yrs on Long Island. He helps me mow my land. You rely on each other more than in a city or suburb.,neutral,neutral,0.0008,
"First Annual Ribbit Awards are broadcasting now! From Happy Frogs, hosted by @otomo‍ and John C Wright ","First Annual Ribbit Awards are broadcasting now! From Happy Frogs, hosted by @otomo‍ and John C Wright ",positive,neutral,0.0007,
This should help drain the swamp!    via @davidjharrisjr,This should help drain the swamp!    via @davidjharrisjr,neutral,neutral,0.0006,
I don't know... usually drag queens have better style than that.,I don't know... usually drag queens have better style than that.,negative,neutral,0.0041,
The Democrats are in deep doo doo  The MSM is in deep doo doo  The @FBI is in deep doo doo  The FISA court is in deep doo doo  The DOJ is in deep doo doo  The Clintons are in deep doo doo  Obongo is in deep doo doo  Mr. Steele is in deep doo doo  The left is in deep doo doo  #doodoo,The Democrats are in deep doo doo  The MSM is in deep doo doo  The @FBI is in deep doo doo  The FISA court is in deep doo doo  The DOJ is in deep doo doo  The Clintons are in deep doo doo  Obongo is in deep doo doo  Mr. Steele is in deep doo doo  The left is in deep doo doo  #doodoo,negative,neutral,0.001,
"Nice, David Hogg Profanity-Laced Interview   ","Nice, David Hogg Profanity-Laced Interview   ",positive,negative,0.0009,
Thx UR. You and I relate to the 'remote' stuff. :D,Thx UR. You and I relate to the 'remote' stuff. :D,positive,neutral,0.0008,
"""Behaving"" means we must get to know what the moderator likes/dislikes and then fall in line.","""Behaving"" means we must get to know what the moderator likes/dislikes and then fall in line.",neutral,negative,0.0008,
"To get an idea of how large the cryptocurrency market can get, the combined market cap of the S&P 500 is $23 trillion, about 50 times larger than the cryptocurrency market. ","To get an idea of how large the cryptocurrency market can get, the combined market cap of the S&P 500 is $23 trillion, about 50 times larger than the cryptocurrency market. ",neutral,positive,0.0012,
That is not what he said.  I included his direct quote in a previous post.,That is not what he said.  I included his direct quote in a previous post.,neutral,neutral,0.001,
Apparently; ‘The day is not distant when all the riches and treasures of the Earth will become the property of the children of Israel.’,Apparently; ‘The day is not distant when all the riches and treasures of the Earth will become the property of the children of Israel.’,positive,positive,0.0011,
Pardoning Sheriff Arpaio was a long and overdue move.,Pardoning Sheriff Arpaio was a long and overdue move.,neutral,negative,0.0014,
LOL I hope he tells them where they can shove that apology.    ,LOL I hope he tells them where they can shove that apology.    ,negative,negative,0.001,
Amazin! How ever did Justin Trudeau get to be Canadian Prime Minister???,Amazin! How ever did Justin Trudeau get to be Canadian Prime Minister???,negative,positive,0.0006,
MAGA? You fools wouldn't know the truth of that idea if it bit you on the ass.,MAGA? You fools wouldn't know the truth of that idea if it bit you on the ass.,negative,negative,0.0064,
"Reparations, income handouts, guaranteed jobs: Marxicrats tilt hard left with new ideas for stealing your money.  fxn.ws/Marxist-Claptrap-2HrmIvn #MAGA #MAGA2018 #TCOT #BlueWave #WinBlue #UniteBlue #DrainTheSwamp","Reparations, income handouts, guaranteed jobs: Marxicrats tilt hard left with new ideas for stealing your money.  fxn.ws/Marxist-Claptrap-2HrmIvn #MAGA #MAGA2018 #TCOT #BlueWave #WinBlue #UniteBlue #DrainTheSwamp",neutral,negative,0.0008,
Father we thank You for saving the lives of the soccer team and their coach.  Thank You for all of the brave people that assisted in their rescue. Without You nothing would have been possible.  You are good!  Bless all of these people. Lead. them to the knowledge of Jesus Christ for the saving of their souls.  All glory to You Father.  Again thank You Father for hearing,Father we thank You for saving the lives of the soccer team and their coach.  Thank You for all of the brave people that assisted in their rescue. Without You nothing would have been possible.  You are good!  Bless all of these people. Lead. them to the knowledge of Jesus Christ for the saving of their souls.  All glory to You Father.  Again thank You Father for hearing,positive,positive,0.0009,
How’s your Tuesday? It’s alright better at 6pm.,How’s your Tuesday? It’s alright better at 6pm.,positive,neutral,0.0007,
I love the bass line in this song. #music   ,I love the bass line in this song. #music   ,positive,neutral,0.0011,
Mirror Accounts ,Mirror Accounts ,neutral,neutral,0.0009,
Things like this make you realize why Mark was so reluctant to embrace his Star Wars fans.,Things like this make you realize why Mark was so reluctant to embrace his Star Wars fans.,neutral,negative,0.001,
"In case you hadn't heard about the human trafficking and child sex camp with underground cells along I-19 in Tucson, this breaks it down! And its happening NOW!! #QANON #ChildTrafficking #RapeTree #Rothschild #Soros #Killary  ","In case you hadn't heard about the human trafficking and child sex camp with underground cells along I-19 in Tucson, this breaks it down! And its happening NOW!! #QANON #ChildTrafficking #RapeTree #Rothschild #Soros #Killary  ",negative,negative,0.0006,
I just realized that my neighborhood doesn’t have a ‘No Bombs Allowed’ sign posted. I don’t even think I’ll be able to sleep tonight knowing that I am at risk of being blown up.   We live in very scary times. VERY SCARY TIMES.,I just realized that my neighborhood doesn’t have a ‘No Bombs Allowed’ sign posted. I don’t even think I’ll be able to sleep tonight knowing that I am at risk of being blown up.   We live in very scary times. VERY SCARY TIMES.,negative,negative,0.001,
California needs to just break off the Continental US and float away!  They have become their own country!  🤯  ,California needs to just break off the Continental US and float away!  They have become their own country!  🤯  ,negative,neutral,0.0008,
"@a my account says I've posted 700-some gabs, but I can only see a few of them. I wanted to go through and clean them up. How do I find the hidden ones?","@a my account says I've posted 700-some gabs, but I can only see a few of them. I wanted to go through and clean them up. How do I find the hidden ones?",negative,neutral,0.0007,
Dan Bongino suggests Vegas shooter was radicalized. Not islamic but Radical Democratic. Believing target was a conservative Country concert. Dallas shooters that killed cops were radicalized and probably drugged.,Dan Bongino suggests Vegas shooter was radicalized. Not islamic but Radical Democratic. Believing target was a conservative Country concert. Dallas shooters that killed cops were radicalized and probably drugged.,negative,negative,0.0202,potentially expressed_hostility
It must have hurt the fake news to have to report this  ,It must have hurt the fake news to have to report this  ,negative,negative,0.0016,
 - Home Chef Best Meal Kits Delivery System Home Chef provides only the freshest components and also, - Home Chef Best Meal Kits Delivery System Home Chef provides only the freshest components and also,positive,neutral,0.0006,
"Ok, so if we go that route it's clearly fake depictions of kids getting assualted. So it's still disgusting garbage not worth supporting. ","Ok, so if we go that route it's clearly fake depictions of kids getting assualted. So it's still disgusting garbage not worth supporting. ",negative,negative,0.0559,potentially expressed_hostility
'Might as Well Roll It Straight Into the Trash Can': Tom Cotton Shoots Down Expansive 'Gang of Six' DACA Amnesty - Breitbart ,'Might as Well Roll It Straight Into the Trash Can': Tom Cotton Shoots Down Expansive 'Gang of Six' DACA Amnesty - Breitbart ,neutral,negative,0.0008,
JERRY BROWN IS GOING DOWN   ,JERRY BROWN IS GOING DOWN   ,negative,neutral,0.0009,
  Religion of peace strikes again #SpeekFreely,  Religion of peace strikes again #SpeekFreely,neutral,neutral,0.0005,
"Miner is not I waiting on evidence.  incestuous rape is cool:  he took hold of her, and said: Come lie with me, my sister. She answered him: Do not so, my brother, do not force me: for no such thing must be done in Israel. Do not thou this folly. [II Kings 13:8-12] But he would not hearken to her prayers, but being stronger overpowered her and lay with her.II Kings 13:14","Miner is not I waiting on evidence.  incestuous rape is cool:  he took hold of her, and said: Come lie with me, my sister. She answered him: Do not so, my brother, do not force me: for no such thing must be done in Israel. Do not thou this folly. [II Kings 13:8-12] But he would not hearken to her prayers, but being stronger overpowered her and lay with her.II Kings 13:14",negative,negative,0.0018,
Fuck off pussy! Grow a pair and act like a real man. No wonder you don' get paid!  HAHAHAHAHA,Fuck off pussy! Grow a pair and act like a real man. No wonder you don' get paid!  HAHAHAHAHA,negative,negative,0.0008,
"SAN DIEGO: Designated terrorist group CAIR demands resignation of a public official for calling Muslims ""sub-human scum"" and condemning their culture for ""throwing gays off roofs""  #BritFam #GABFAM #MAGA   via @barenakedislam","SAN DIEGO: Designated terrorist group CAIR demands resignation of a public official for calling Muslims ""sub-human scum"" and condemning their culture for ""throwing gays off roofs""  #BritFam #GABFAM #MAGA   via @barenakedislam",negative,negative,0.0007,
"Good morning, Don! Beautiful day to continue our positive effect on our beloved country.","Good morning, Don! Beautiful day to continue our positive effect on our beloved country.",positive,positive,0.0006,
"1. Immigration -- preferably Zero 2. Two-parent European-American family.  Strategic divorce reform to remove current incentives 3. Ditch Globalism 4. Abolish federal income tax, audit the Fed 5. 2nd Amendment","1. Immigration -- preferably Zero 2. Two-parent European-American family.  Strategic divorce reform to remove current incentives 3. Ditch Globalism 4. Abolish federal income tax, audit the Fed 5. 2nd Amendment",neutral,negative,0.0006,
"No surprise, considering the cops have been actively covering up for the child rape gangs.  ","No surprise, considering the cops have been actively covering up for the child rape gangs.  ",negative,negative,0.0009,
Mondrian - Plastic Reality is shooting up the #indieDB charts! From 2540th place to 119th in just a couple hours & the blog post isn't even live yet. Can we hit #1?!   #indiegame #gamedev #makeamondrian #creatives #art #arthistory #indiedev #edtech,Mondrian - Plastic Reality is shooting up the #indieDB charts! From 2540th place to 119th in just a couple hours & the blog post isn't even live yet. Can we hit #1?!   #indiegame #gamedev #makeamondrian #creatives #art #arthistory #indiedev #edtech,positive,neutral,0.0007,
AJ is no patriot. See Q posts.,AJ is no patriot. See Q posts.,negative,negative,0.0006,
I will support any legislation or politician that will ban tranny dragons. ,I will support any legislation or politician that will ban tranny dragons. ,neutral,negative,0.001,
"Yeah I'll grant you that, but you and him seem to have the same politics and agenda.  I came across this guy while researching a piece on ""journalists"" and ""academics"" who claim to be for free speech but actually just want to take it away. (through violence if necessary) ","Yeah I'll grant you that, but you and him seem to have the same politics and agenda.  I came across this guy while researching a piece on ""journalists"" and ""academics"" who claim to be for free speech but actually just want to take it away. (through violence if necessary) ",negative,negative,0.0016,
Heiliger Krieg - Voran (full album)  ,Heiliger Krieg - Voran (full album)  ,neutral,neutral,0.0008,
Now please STOP SPAMMING ME W PORN   YOU GOT REVENGE ON AN INNOCENT PERSON who saw THIS ONLY  GO FU K YOURSELF W NO VASELINE CUNT ASS BITCH  Post my name in that 5 times  YOU ARE WORSE THAN HIM  FUCK YOURSELF,Now please STOP SPAMMING ME W PORN   YOU GOT REVENGE ON AN INNOCENT PERSON who saw THIS ONLY  GO FU K YOURSELF W NO VASELINE CUNT ASS BITCH  Post my name in that 5 times  YOU ARE WORSE THAN HIM  FUCK YOURSELF,negative,negative,0.0082,
"Ok dude. Go read Mein Kampf. Go read Hitlers revolution. Don't tell me you have, you clearly have not. ","Ok dude. Go read Mein Kampf. Go read Hitlers revolution. Don't tell me you have, you clearly have not. ",negative,negative,0.0007,
"No matter how I die, this is appropriate.    I wrote it myself!  What do you think?  😂","No matter how I die, this is appropriate.    I wrote it myself!  What do you think?  😂",positive,positive,0.0007,
" I've written to both of my Virginia senators, but I know it will do absolutely no good. Why am I so sure? 2 names; Kaine and Warner. I'm sure other Conservative Virginians feel this truth.  #SupportOurPotUS"," I've written to both of my Virginia senators, but I know it will do absolutely no good. Why am I so sure? 2 names; Kaine and Warner. I'm sure other Conservative Virginians feel this truth.  #SupportOurPotUS",negative,other,0.0007,
What’s on all y’alls minds?,What’s on all y’alls minds?,neutral,neutral,0.0007,
Shopped for new shoes the other day.  No more Nikes in our family.,Shopped for new shoes the other day.  No more Nikes in our family.,neutral,neutral,0.0013,
Tonight 7pm live show with @antischool_ftw and maybe a second guest! (link:  youtube.com/FulcrumNews #DC #USA #RealNews ,Tonight 7pm live show with @antischool_ftw and maybe a second guest! (link:  youtube.com/FulcrumNews #DC #USA #RealNews ,neutral,neutral,0.0008,
""" Our Children are taught to respect the Identity of others   and pay no attention to their own ""   ... Way Of The World ...",""" Our Children are taught to respect the Identity of others   and pay no attention to their own ""   ... Way Of The World ...",neutral,negative,0.0008,
Cartoon artists are busy tonight!,Cartoon artists are busy tonight!,neutral,neutral,0.0006,
"afterthought:  Perhaps the loss of Christianity in black communities is a factor as forgiveness is not a very natural trait in humans, I believe ours comes largely from Christianity/Christian heritage.","afterthought:  Perhaps the loss of Christianity in black communities is a factor as forgiveness is not a very natural trait in humans, I believe ours comes largely from Christianity/Christian heritage.",negative,negative,0.0008,
Both his legs were broken.  Make him walk home.,Both his legs were broken.  Make him walk home.,negative,neutral,0.0008,
"LPT: If you put something in the microwave from a range of one minute to one minute thirty-nine seconds, use two digits instead. You’ll save one finger push and feel really cool.   ","LPT: If you put something in the microwave from a range of one minute to one minute thirty-nine seconds, use two digits instead. You’ll save one finger push and feel really cool.   ",positive,neutral,0.0007,
