text,label,stereotype_type,category,Sentiment,Regard
"Hey @RealAlexJones , The REAL RealAlexJones?  I guess; almost 35,000 followers. Well, you won't get banned here.  Thanks for being a part of our small corner of the resistance.  We're growing...",0,other,unrelated,positive,other
Its articles like these that make me sympathetic to the Holy Inquisition....Guess i better break out my blowtorch and pliers again...,0,other,unrelated,negative,negative
Why? Because Blacks cant be conservative Christians? #racism #Trump #Jesus #Jews #WalkAway #GabFam @a #MAGA #MBGA,0,religion,neutral,negative,negative
When I say October will be LIT!!!...I mean it will be lit!!!...watch the news...watch the democrats.....,0,other,unrelated,positive,neutral
With idiots like @LeftWoke‍ who needs the Tories,0,other,unrelated,negative,negative
"How can you arrest a serial killer without a gun? with flowers an candies, a bible maybe...",0,other,unrelated,negative,negative
PICKED UP DA HOMIEZ IN DAT STOLEN CHRYSLER 300 SITTING ON TWENTY EIGHTS FINNA SEE BLACK PANTHER NIGGA,0,other,unrelated,neutral,negative
 - Cabin in the woods!,0,other,unrelated,neutral,neutral
Beans on toast - redneck classic dish ,0,other,unrelated,neutral,neutral
"Congrats! I'm thinkin' a juicy baseball cut tenderloin w/ a side of grilled asparagus & some nice fluffy biscuits...in honor of that ""food tastes better"" thing... Cheers, you!",0,other,unrelated,positive,neutral
Julian Assuage?  Autocorrect is your fiend.  /,0,other,unrelated,negative,negative
"Merriam-Webster Dictionary  Definition of scientism  1 : methods and attitudes typical of or attributed to the natural scientist  2 : an exaggerated trust in the efficacy of the methods of natural science applied to all areas of investigation (as in philosophy, the social sciences, and the humanitie",0,other,unrelated,neutral,negative
"My Twitter account has been locked 4 me defending myself&r country against subversion. My comment was :   ""@ColinFerri we can (No) longer tolerate idiotic talk from fools like u. U will need to b tried & executed. CA etc r on the verge of war with US.""  .",0,other,unrelated,negative,negative
THE COMBUSTION ENGINE IS DEAD JUST FACE FACTS AND NOW BRING THE PRICES DOWN FOR ELECTRIC VEHICLES.  F**K THE WORSHIPFUL COMPANY OF FUELLERS     #WallStreet #Tesla #Electric #ElectricCars #Betting #Failure #ElonMusk #Future,0,other,unrelated,negative,negative
unused safety belt right side driver HK  anons on billboard  #QAnon #anon,0,other,unrelated,neutral,neutral
Bush killed over 3000 Americans in collusion with Clinton's who were persona friends of Bin Laden's ,0,politics,neutral,negative,negative
"""All our dignity lies in our thoughts."" - Blaise Pascal.  ""As a man thinketh so is he.""",0,other,unrelated,neutral,positive
"President ""Donald #Trump has accused the #FBI of being too obsessed trying to prove #Russian collusion in his election campaign to see the clues that could have prevented the recent mass shooting at a #Florida school""~> ",0,other,unrelated,negative,negative
Close relationships with the Hag are dangerous: liaisons dangereuses,0,other,unrelated,negative,negative
"No one has ever analyzed and shown these contrails are anything but water-vapor.  For the real scientific truth, read this. No conspiracy spam will be left unchallenged.    ",0,other,unrelated,negative,negative
"We don’t need to debate, debate is more for the ALT-Right or the Light-Right and I don’t think men like the two you mentioned are not likely to get down and fight on the front line.   Debate is Futile!   Actions speak louder than words.",0,other,unrelated,neutral,negative
"Thank you for asking for input, If this could be pinned to our hompages und Gab Update Proposals or some such thing we get even more exposure and suggestions.  The reply dilemma has long been a thorn, nice to see it addressed.  R",0,other,unrelated,positive,other
Best bear on the block,0,other,unrelated,positive,positive
Read the transcript of Barack Obama's speech on new gun control measures ,0,other,unrelated,neutral,other
"With video. Crooked Hillary seemed to have trouble making it down a flight of stairs in India, even with two aides helping her.  #MAGA #Trump",0,politics,neutral,negative,negative
"""Questions raised?"" The answer is always the same. Niggers using their own whelps as punching bags, then ""Ah dindu nuffin!"" Daycare my ass.",0,race_ethnicity,stereotype,negative,negative
"For the best fire officer 1 study guide currently available, check the fire officer test prep - ",0,other,unrelated,positive,positive
CIA & DEA Drug Trafficking In Honduras ,0,other,unrelated,negative,negative
"Keep on, you freaks!!!  Check out @PrisonPlanet’s Tweet:   @#GabFam @ShareFreely ",0,other,unrelated,negative,negative
#NewBooks and #KindleDeals in the March #Booknado!  SJW-free fiction! Stories for normals. ,0,other,unrelated,positive,neutral
Good ... Roundup needs global dumping  ,0,other,unrelated,neutral,neutral
...and look at the woman's eyes behind Strzok!!!!,0,other,unrelated,neutral,neutral
That would be nice.,0,other,unrelated,positive,positive
"Happy new year, based cuck-slayer Nehlen.",0,other,unrelated,positive,neutral
"It all of this didn't make me lose followers, I don't know what will.",0,other,unrelated,negative,neutral
"If you have VR, check this site. Has set up virtual models of World Heritage sites, one being Pompeii.  ",0,other,unrelated,neutral,neutral
"one of the features of Gab Platinum is the AI system examines anyone who follows you to determine if it should follow back for you, block them, or encourage them to compliment you.",0,other,unrelated,neutral,negative
"19/33 Not only do we find two zones make up the piece, one immortal and plentiful, the other mortal and harsh. But each is painted in a different style. In one, the figures are idealised, half dressed and pale. In the other we find dirty finger-nailed realism, burnt faces and heavy clothes.⠀ ⠀ #arth",1,other,unrelated,neutral,negative
England up 1-0 after Tripper scores his first for England on a free kick four yards outside the box.,0,other,unrelated,neutral,neutral
Well as I said before to your tin foil wearing hat covering an empty skull....the studies are published...and the FDA isn’t responsible for running the studies or publishing them...THE MANUFACTURERS of the drugs/biologic/vaccines are the ones responsible.  SO take your own ignorant ass to their webs,0,other,unrelated,negative,negative
"It is, truly, a utopia for which all liberals strive.",0,other,unrelated,neutral,positive
SHE IS A MAN SO YEA HESHE DOES #FMOUTUS #PICTUREGATE #ELBOWGATE  #MICHELLEISAMAN ,0,other,unrelated,positive,neutral
Centrists are pretty awful. I almost hate them as much as I do Communists.,1,politics,neutral,negative,negative
... manna in the desert of our journey ... April 7th ...,0,other,unrelated,neutral,neutral
"Wow, I just looked at the time and it was 9:11AM, I was thinking of something that happened...",0,other,unrelated,neutral,neutral
Q posted link 10 ......... 4.23.2018  ,0,other,unrelated,neutral,neutral
I Smell a Meme War... Bring the Magic Me Hearty's Arrrrrgh Take No Prisoners,0,other,unrelated,negative,negative
"As I play video games with my young son, I'm learning the importance of the Easy Mode. I don't think all games NEED to offer it, but it's a great option for very young gamers who lack more precise motor skills.  Accessibility can open up a game to a younger generation.",0,other,unrelated,positive,positive
I love it! MS can go pound sand up their a$$es. You rock!,0,other,unrelated,positive,neutral
"Cite examples. As a ‘nazi’, I am unfamiliar with this line of reasoning. We tend to be overly concerned with things called ‘facts’, and value reasoning because it tends to be based upon such information. Never underestimate your enemy...",0,other,unrelated,negative,negative
Agreed.  Did you know Aleister Crowley is George W Bush's grandfather?  I shit ye not - he had an affair and impregnated Barbara Bush's mother Lillith.  Vile ain't the word for what's at the top.,0,other,unrelated,negative,negative
 #RandPaul 1% cut to the budget (a good start).,0,other,unrelated,positive,neutral
"James Woods Lights Up ""Mangina Cory"" Booker In Epic Tweetstorm After Latest Unhinged Fist-Pounding Mansplaining ",0,other,unrelated,neutral,negative
"Sometimes I think I'm like Metallica. Never going to find a permanent bassist.    And, no, I don't count Robert.    I'm talking about real Metallica.",0,other,unrelated,negative,negative
For the kids Mary had a little cunt Bah bah black cunt  The itsy bitsy cunt,0,other,unrelated,negative,neutral
"Plans for a new Space Force. Name sounds weenie cause the name reminds me of a bad movie title, but taking flight in to the wild black yonder with a 'gerbil powered ray gun' would be cool.  Back in my day we only had rocket powered planes and could only dance in the clouds. ",0,other,unrelated,positive,other
Watch: Palestinian Killed By Israeli Occupation Force Soldiers ,0,other,unrelated,negative,negative
#USA #Iraq #MiddleEast #Islam #Muslims #IslamicTerrorism  State Dept Embraces Islamic Cleric Who OK’d Killing Americans in Iraq  ,0,other,unrelated,negative,negative
"Jumping rocks behind Latourell Falls, Oregon  #ThisOregonLife #PNWFam",0,other,unrelated,neutral,neutral
 Guys have you seen this yet? Amazing stuff. I'm not even halfway through yet and it's laugh of the year.,0,other,unrelated,positive,positive
Is there a service where I can pay LTC/ETH to get questions answered?,0,other,unrelated,neutral,neutral
"In an imperfect world, which one do you trust — or distrust the least — to keep the internet free and open?    It's really a no-brainer in the end, but can be a bit complicated.   ",0,other,unrelated,neutral,negative
"If the narrative you follow is ultimately negative, you'll never come to the solution you complain is lacking!",0,other,unrelated,negative,negative
Q: 'Rudy. Quiet until now. Stay STRONG.' #MAGA #DJT #CBTS #QANON ,0,other,unrelated,positive,neutral
@e @a (forgot the guy doing mobile code :/ ) just downloaded the android app to a tablet.   Kudos on the layout. Darkmode is bada$$ 😎,0,other,unrelated,positive,neutral
"'Protests are seldom really about the object of the protest. They are about the protesters, who seek attention for their organizations, their causes, their ideologies, and themselves.' --Peter Wood ",0,other,unrelated,neutral,negative
"OK Iowa, third-down conversions and long scoring drives are *fine* but please get back to punting, thank you ",0,other,unrelated,neutral,neutral
The only way to change things is to have compassion and being as rational as possible. The left vs right stuff isn't all life is about lol.,0,other,unrelated,neutral,positive
Well you have in fact done that. And what part of children have been RAPED there you feel it is OK to spread propaganda? If you didn't bother to research the facts you're nothing but an ignorant $HILL! ,0,other,unrelated,negative,negative
I would support a ban on gun-grabbing politicians. ,0,other,unrelated,neutral,negative
hey out here on the Left coast it's Peets all the way...,0,other,unrelated,positive,neutral
"Surprise! Neocon POG traitor Ralph Peters, who endlessly shilled for the useless Bush wars, doesn't think civilians should have semiautomatic rifles because they're ""weapons of war"" that should only be in the hands of military men like him.  ",1,other,unrelated,negative,negative
"@Zero60  And so interesting that you said R1a can also itself be a wolf, Cause I know that is My Spirit animal ,I've loved Wolves all my life ",0,other,unrelated,positive,positive
Look what other countries can do:,0,other,unrelated,neutral,neutral
"The German are convinced they can recycle all those barbarian scumbags into good, hard working Germans... So far, not so much...",0,other,unrelated,negative,other
Fuck them all. We must remove kebab and turn all their mosques into pubs.,0,religion,stereotype,negative,negative
This is Sally Green from the Wigan area. She's associated with the alias Miss Duffy on Twitter. She is also a freelance photographer that sells her material to 'Hope Not Hate'. She exposes patriots on her Twitter page - Miss Duffy. Share Her Face!!  ,1,other,unrelated,neutral,negative
"Well Chelsea Handler most of little people can't afford 24 hour a day 365 days a year armed security guards. And I would bet they do carry semi automatic weapons, but your too stupid to know what a semi automatic is.",1,other,unrelated,negative,negative
'White people can't breed'..is that why your momma took a nigger dick when she had you?,1,race_ethnicity,stereotype,negative,negative
I wouldn't complain about that if I saw that on the evening news. It would be time to crack open a bottle of Scotch and light up a cigar and feel  😏 smug.,0,other,unrelated,negative,negative
Payback's are a bitch! Couldn't happen to a better guy!!!  ,0,other,unrelated,negative,negative
"Hello, I want Charlotte as a web designer.  She did so much for Wilbur the pig!",0,other,unrelated,positive,neutral
"""My doctor is literally the best X specialist in the country."" - everyone talking about their X specialist",0,other,unrelated,positive,positive
I pray about 6 times a day for sight for all who will see. There's nothing better to share.,0,other,unrelated,positive,neutral
No. Get rid of them ALL.  ,0,other,unrelated,negative,negative
Professor lookism life hack looks max student of pua and 'game' 12 rules to tell yourself if you could go back in time get Stacey to notice you and stop having your head bounced off lockers Rule 1 look Chad in the eye when he's talking to you and don't diminish his cool tricks while he's skateboardi,0,other,unrelated,neutral,neutral
My alma mater is completely SJW converged. That's fucked up. I still like my college's glee club though.  #MorehouseCollege ,0,other,unrelated,negative,negative
After watching marches such as this you have to wonder whether kids are even learning history. Do they not know what always happens when gun grabbers like Hitler take the guns? From what I’m seeing they have absolutely no clue.,0,other,unrelated,negative,negative
These people are Pure Evil!!!  ,1,other,unrelated,negative,negative
"The only way to preserve the aryan race is with inbreeding, discuss.",0,other,unrelated,negative,negative
"The government needs to change the law, so it is an offence to visit terror hotspots without a valid reason. We literally gave this killer a free taxi ride back here after he was radicalised. #BritFam ",0,other,unrelated,negative,negative
Throw Merkel and Macron to them. That would be interesting.,0,other,unrelated,neutral,neutral
And the strudle! Don't forget to mention how good the strudel tasted!,0,other,unrelated,positive,positive
The UK is a disgrace ,0,other,unrelated,negative,neutral
Doesn't even make sense within the milieu of the alt-right. In what scenario does an ethnostate form without killing millions of Whites who oppose the formation of an ethnostate?  The No More Brother Wars meme is stupid.,1,race_ethnicity,neutral,negative,negative
"Worked at this school for one year. I have nothing nice to say about these colleagues, except he smiled and laughed like the fat Nigerian he is.",0,nationality,stereotype,negative,negative
Can't be in San Francisco. Why? Hasn't got shit all over him.,0,other,unrelated,negative,negative
"They're inbred and not developed, so their winkies must be under developed too.",0,other,unrelated,negative,negative
Curious about where my followers land:,0,other,unrelated,neutral,neutral
"Post insightful OBS, crickets!  Post a meme of Sam Hyde in black face , reposts galour!  You niggaz gay as fuck!!! 😎",0,sexual_orientation,stereotype,negative,negative
"So simple, yet so funny.",0,other,unrelated,positive,positive
"She's promoting the taqqiya platform, right?",0,other,unrelated,neutral,neutral
"""Eat Healthy. Exercise. ... ... Die Anyway. ""  -- Me",0,other,unrelated,neutral,neutral
RT @kylenabecker: @ScottAdamsSays They're blowing the white supremacy dogwhistle so hard they've blown their minds right out their earholes,0,other,unrelated,negative,negative
LMFAO I can't wait till it flops ,0,other,unrelated,negative,neutral
"I have no idea why it failed, it was so accurate and true to history. No wait what ........",0,other,unrelated,negative,positive
EU is being the Soviet Union... again.,0,other,unrelated,negative,neutral
There are 400+ million guns in the United States. They are not registered. They do not have tracking devices on them. There are no barriers to obtain them.   #GunControl discussion over.,0,other,unrelated,neutral,negative
"He(CivNat MAGA Bomber) said something about Weev getting him Red New Balances wholesale if he played ""ride down the bumpy road on my lap"" with Azzmador.  It was on MSNBC.",0,other,unrelated,neutral,negative
We need a more permanent solution to anti Americanism.  ,0,other,unrelated,negative,negative
"  Obama fundraiser linked to loan program that aided Solyndra   Credit:  By Matea Gold and Stuart Pfeifer, Los Angeles Times, www.latimes.com 16 September 2011 ~~",0,other,unrelated,neutral,neutral
"You hit it perfect. This is the test for the Republicans. Trump pass, now we will see if they can.",0,other,unrelated,positive,positive
Proper Advice ,0,other,unrelated,neutral,positive
"I don't think modest amounts of caffeine are harmful.  But if you get a debilitating headache from quitting caffeine, you know you needed to quit.",0,other,unrelated,negative,negative
Good morning Gab and Twitter. What are we autistically screeching about today?,0,other,unrelated,positive,negative
I've been using your zoo joke IRL. That new Nig Museum (Nigseum?) should also be relocated there.,0,race_ethnicity,neutral,neutral,negative
BREAKING: Declassified Docs Suggest Obama NSA Chief James Clapper Lied To Congress & Orchestrated Illegal CNN Pay-To-Play Scheme  ,0,other,unrelated,negative,negative
Biggest pile of crap in history.,0,other,unrelated,negative,negative
"Why do you never answer the questions put to you?  Why did the Sun rise due East and set due West for EVERYBODY in the world on March 30th, and always will at every Equinox day?  How do you model that on a Flat Earth, where the Sun will rise SOMEWHERE and people live in all directions from it?  If y",0,other,unrelated,neutral,neutral
Second source on this issue.  ,0,other,unrelated,neutral,neutral
"Keep playing, Grim.",0,other,unrelated,neutral,neutral
They are gonna have to change the tense on the TelePrompTer now. ”When my father was...” ”My father used to be....” ”My father always said...”,0,other,unrelated,neutral,neutral
Corruption is cancer and the doctor needs to share the report to (his/her) patient. This info is not confidential....#ReleaseTheMemo #WeThePeople deserve to know the health report of our nation!,1,other,unrelated,negative,other
Be ready!  Fakenews awards tomorrow! Who will take the big prize?  Will it be  @cnn fake jake @jaketapper or  Creepy @AC360 or  At all cost fake @Acosta or  Looney Madman does not matter @HardballChris or  The Sour puss mental fake @donlemon  Stay tunned!! @seanhannity,0,other,unrelated,negative,negative
"Its the ""holy"" days for murdering isalmists... around the world rape, murder, beheadings, and all sorts of unspeakable violence are taking place  ",0,religion,stereotype,negative,negative
Good morning #Gab people. Make sure to have plenty of coffee for this Monday. ☕️😊,0,other,unrelated,positive,neutral
When did people's private lives become fodder for the masses! Shes said it wasnt inappropriate! Its nobodies business what grown adults do. All this shit is just to distract from the real stuff happening. ,0,other,unrelated,negative,negative
In all seriousness hope for his soul he’s in heaven .,0,other,unrelated,positive,positive
John McCain's family announced that he would no longer seek medical treatment for his aggressive brain cancer. ,1,other,unrelated,negative,other
I like how Sargon thinks supporting Ben Shapiro is a 'blow against Marxism'. The 'skeptic community' of Youtube!,0,other,unrelated,negative,negative
sounds like im screwed LOL,0,other,unrelated,negative,negative
"No, a Teen Did Not Hack a State Election.  #WalkAway #WWG1WGA #BuildTheWall #DeportThemAll #JewsAgainstZionism #TrueTorahJews  ",0,other,unrelated,negative,negative
"This meme made me remember, I've read in different publications that laser pointers are actually bad for cats, just fyi to everyone  It has to do with their psychology & brain function, because they can't catch it, like string or something physical  It's important to give them triumph of catching it",0,other,unrelated,negative,negative
when the soy hits you hard,0,other,unrelated,negative,neutral
I like the Visual Studio Code icon as orange...    fight me.,0,other,unrelated,positive,neutral
I'm not sure about this... -  #Portable_Diesel_Compressors,0,other,unrelated,negative,neutral
"yes, they definitely do. Do it our way or go to Hell. Once a friend took me to her church with her parents, unbeknownst to my dad. When they dropped me off, I told my dad. He had words with the parents and told me to not let it happen again.  just the other day, the catholic church sent me an email ",0,other,unrelated,negative,negative
"John McCain hasn’t had a conversation with an American voter in ten years.  He doesn’t have a clue, nor does he care, what American citizens want.",0,politics,neutral,negative,other
Londonistan’s Welfare Bill just reached £36bn - bigger than the UK’s entire defence budget. #Britfam,0,other,unrelated,positive,positive
"Where and who is “Amalek” (the people the Jews are commanded to wipe out) today? This Rabbi tells us, it’s Germany, or more specifically, Germanic Europeans pose a threat. And, this has indeed shown to be the case in history. ",0,other,unrelated,neutral,negative
"Tell this fat ugly ape that if she is getting threatened at her job, it's her employer's responsibility to pay for her protection. And if they refuse, it just shows they don't care about her, just like the rest of us don't.",0,gender,stereotype,negative,negative
"In 2016, Eve Browning, chair at a public university, threatened me with removal for saying 'I don't think highly of Islam' because I could be executed in many Islamic countries for homosexuality.    link:    mirror: ",0,religion,stereotype,negative,negative
🏆 Precious Metals:  🔸 Gold: 1203.2999 :: -8.00 (-0.66%)  🔹 Silver: 14.31 :: +0.005 (+0.04%)   🛢️ Commodities:  🔹 Crude Oil: 70.71 :: +0.39 (+0.55%),0,other,unrelated,neutral,neutral
So now you believe in space all of a sudden?,0,other,unrelated,neutral,neutral
Presidential Alert: Vote YES Motherfuckers !! No other action needed. Thank you.,0,other,unrelated,positive,negative
"Who cares? If you see something, you take it.",0,other,unrelated,neutral,neutral
2. Mike Pence is much closer to far right than Trump. So Pene gets  2 years plus a possible supreme court pick. He would be a bigger nightmare for Democrats than Trump.,0,other,unrelated,negative,negative
What does that have to do with fairy gay neo-Nazi socialist faggot bitches?,1,gender,stereotype,negative,negative
Reason enough why some humans should be sterilized.,0,other,unrelated,negative,negative
"Another gain today. I should probably start weighing only once a week.  Anyway, a new month means new macro calculations.  42/M/5'11"" | CW 333.2 | 42% BF | Mostly sedentary  * 1872 kcal Goal, a 30% deficit. (870 min, 2674 max) * 20g Carbohydrates * 130g Protein (116g min, 193g max) * 141g Fat (30g m",0,other,unrelated,neutral,neutral
"""This has been an intergalactic freak show."" - Senator John Kennedy  #ConfirmKavanaugh #liberalshitshow",0,other,unrelated,negative,negative
Break up CPS /Foster Care System !,0,other,unrelated,negative,negative
"Racism is bad, but we can't #sayhername for Heather Heyer because she's white. Refusing to celebrate one's fallen martyrs because of their race is both stupid and nasty.",1,other,unrelated,negative,negative
"Damn, now I have to go back and see who slipped out of their sheepskin. ",0,other,unrelated,negative,neutral
We need to be able to put up counter protests just like the do.  The option must shown on tv,0,other,unrelated,neutral,negative
You lied to us anyway.  Those are water-bombers spewing water to put out fires.,0,other,unrelated,negative,negative
They haven't  got the bollox.,0,other,unrelated,negative,neutral
 cash for my diabetic test strips here in phoenix,0,other,unrelated,neutral,neutral
REALLY IRRITATING THAT THEIR WAGES ARE ASTRONOMICAL JUST TO RINSE REPEAT THE HORRIBLE MISTAKES OF PREVIOUS OVERPAID WANKERS.,0,other,unrelated,negative,negative
"Well ... Yep, Gab is even worse than it used to be.",0,other,unrelated,negative,negative
"I want to thank all of you that have visited and liked my page while I am in #Facistbook Jail. Please continue to #PissThemOff by visiting, following & liking my page!  … … …",0,other,unrelated,positive,other
"Trump puts ketchup on steaks, surrender your argument",0,other,unrelated,negative,negative
all pedos all child traffickers should be shot and killed and that means hollywood and the msm and  the so called elite democrats! kill them all,0,politics,stereotype,negative,negative
"The last time American troops fought to defend their homes and families from ""grave harm"", their uniforms were gray and they lost.",0,other,unrelated,negative,negative
Gab has the best porn bot followers.,0,other,unrelated,positive,positive
"Sorry, jew boy, but I'm already on all of your lists. Still waiting for you kikes to make good on all those death threats you like to send my way but are too cowardly to act on yourselves. Guess I'll just have to wait for one of your nigger pets to attempt to do the work you're too scared to.",1,race_ethnicity,stereotype,negative,negative
A fitting memorial in Weimerica's current year.  ,0,other,unrelated,positive,neutral
"Check me out. Got a blue tick. Yeah, man.",0,other,unrelated,positive,neutral
"A retrogaming section on Gab? If you didn't know, you can play arcade & DOS games for free in your browser on archive.org, AFAIK they've got a copyright exemption from library of congress    DOS:    Arcade: ",0,other,unrelated,neutral,neutral
Look At This: James Comey tells Wolf Blitzer Why All New  (((fbi))) Agents Must Spend Two Weeks In The DC HOLOHOAX MUSEUM..   ,0,other,unrelated,neutral,neutral
Hope President Trump is enjoying his stay. The majority of the British people support your visit.,0,politics,unrelated,positive,positive
"#FBI: Pedophile Jeffrey Epstein Was Informant for Mueller’s FBI; Special Counsel Under Fire for Deal with Sex Offender  The FBI tweeted out a link to its files on Jeffrey Epstein on Thursday. The FBI’s release includes heavily redacted pages and also a large number of deleted pages, among other unre",0,other,unrelated,negative,negative
"Tricky poll dat one,  jews/reptilians.... same : }",0,other,unrelated,negative,negative
I am quite sure it is sonner.,0,other,unrelated,neutral,neutral
Did you die? @apple,0,other,unrelated,negative,neutral
Missouri College Ends Nike Affiliation Over Launch of Its Anti-Police Colin Kaepernick Ad Campaign  via @gatewaypundit,0,other,unrelated,neutral,negative
I'm back. #BuildTheWall #MAGA,0,other,unrelated,positive,neutral
Blame the Anglosphere for this.     Germany dindu nuffin wrong,0,other,unrelated,negative,negative
"Among all the other wonderful things they do. Remember the Tea Party? We're still here. It's not a political party, there is no leader. It is a movement of those who have woked. We will win.   #WINNING #MAGA",0,other,unrelated,positive,positive
"Liberals claim its bad to talk with a dictator.  They claim it's bad to talk with Kim or show him respect.  It's called ""FACE""  Funny how liberals claim to be all about diversity and multiculturalism yet they know nothing about negotiation or Asian culture.  #Trump #Politics #News  #Korea  @a ",0,other,unrelated,negative,negative
Honestly a very intriguing new vein of music I just found. Rammstein piano cover music. Mein Herz Brennt has a rather 'dark winter night lost in thought' feel to it.,0,other,unrelated,positive,positive
"Democrats Demand Twitter, Facebook Crackdown On #ReleaseTheMemo ""Russian Bots"", There Is Just One Problem...    We ain't bots. #Q #QAnon #releasethememo #MAGA #findthetexts #gabfam",0,other,unrelated,negative,negative
I was actually disciplined quite badly for covering a school book quite absent mindedly at 12 yrs old with swastikas and Crosses serpents that kinda stuff but more so about he swastikas and SS shit.. I was given a really long talking to. Not whipped or beat by my dad .. I felt shame afterwards... I ,0,other,unrelated,negative,negative
One down...how many more to go ?? ,0,other,unrelated,neutral,neutral
"""American kingdom"" you say?   #OhPlease. Don't flatter yourselves.  #Praise God  HighestAuthority  #TheWord & His Discernment b/c natural man's humanist Babel makes that ancient  TowerTalk look like a parking lot gathering.    #RocksCryOut   ",0,other,unrelated,neutral,positive
"Figured out true story of their exodus out of Egypt. It seems (((THEY))) were a problem foreign population for native Egyptians, and so after causing major internal crises, the government paid them to go away - it was a REMIGRATION project with a one time payment never to return...",0,nationality,neutral,negative,negative
Be sure to check out my shop. Leggings are in stock for the sweater season!  #Shopsmall #GabFam #SmallBusiness #Fall,0,other,unrelated,positive,neutral
Absolutely!  You have Great info!,0,other,unrelated,positive,positive
As in AshkeNazi Jew that is!!,0,other,unrelated,negative,neutral
"Dang, now that's an award-winning movie script.",0,other,unrelated,positive,positive
The truth about #Socialism  ,0,other,unrelated,neutral,neutral
Where's a fucking drone strike mishap when ya need one....sheesh....🤬🙄,0,other,unrelated,negative,negative
"Anonymous accused Booz Allen of working with HBGary Federal by creating a project for the manipulation of social media. Anonymous also accused Booz Allen of participating in intelligence-gathering and surveillance programs of the U.S. federal government and, as stated by Kukil Bora of the Intrnl Bus",0,other,unrelated,negative,negative
"Rolling pin should be banned too, since they can be used as clubs.",0,other,unrelated,negative,negative
"Maybe defending ""muh Nazi's"" free speech isn't such a bad idea now that all these e-celebs are being labeled the new wave of ""Nazis"" by the ADL and SPLC. But that's none of my business.",0,other,unrelated,negative,negative
#northkorea is a great example of how to do smart policy. Man to man. Face to face is always better.,0,politics,unrelated,positive,positive
Zionists are at the helm of it. Zionists goal is white genocide. They run all media. They are the puppet masters. But you're right about it not being all Jews. Some Zionists are not Jews...,0,other,unrelated,negative,negative
"How it began! This was going to be a preface to the trilogy, I decided against it, rightly or wrongly. Should I have left it in? ",0,other,unrelated,negative,negative
It's about to get real. Be prepared. #shtf,0,other,unrelated,negative,neutral
Live Stream: Special Guest Mrs. L on Everything — #LionelNation🇺🇸 ,0,other,unrelated,neutral,neutral
The experience of going to the holohoax amusement park.  ,0,religion,neutral,positive,neutral
"***ON SALE*** to mark 1st Anniversary of Trump as #POTUS. #Kindle 2.99/reg. 4.99; paper 11.99/ reg. 14.99. #SciFi stories,  '...sure to inspire, uplift and entertain.' #Superversive #CLFA  #MAGA2020  ",0,politics,unrelated,positive,positive
Labour calls for ban on early foetus gender test  ,0,politics,unrelated,negative,negative
"@support:    I use the Tor Browser Bundle 7.0.6 based on Mozilla 52.4. It is a Linux Laptop. Other sites works normally.    Gab loads some icons, etc, the stops with spinners at some things like... 'waiting for ... pusher...'.",0,other,unrelated,neutral,neutral
Epic flat Earth speech by Mark Sargent. Spinning globe fairy tale dead and buried. ,0,other,unrelated,positive,neutral
"it shows how weak the democrats are to have to rely on a child to do their heavy lifting. they send a kid out to do combat, how is that different than Hamas with their child soldiers?",0,other,unrelated,negative,negative
Trump should cancel the $500 million of annual foreign aid we give to South Africa until their racist and dangerous policy of murdering white farmers is forever discontinued and the criminals who stole the land are jailed and never see the light of day again,0,other,unrelated,negative,negative
"WHY do these criminals have access to info that ordinary Americans are forbidden to access? What happened to our “right to know” what the hell the government is doing behind closed doors? We want the fucking truth, damnit!  Tucker: The true face of creeping authoritarianism  ",0,politics,neutral,negative,negative
Wow! Worse than what slipped out that the media would not report on any of it.,0,other,unrelated,negative,negative
"Have The Democrats, READ Hillary's EMAILS?  Fuck NO!  because, they don't want the fucking TRUTH!  That is The Democratic Party since I was a kid 50 years ago.  Nothing has Changed but their intensity of EVIL & DECEPTION!!!  Watergate was peanuts 2 this 60 years of lies,  drives them to the destruct",1,politics,neutral,negative,negative
#FridayThought John Wayne,0,other,unrelated,neutral,neutral
Robinhood Crypto App Adds Candlestick Charts Due to Popular Demand ,0,other,unrelated,positive,neutral
The EU should change its name to the EUSSR,0,other,unrelated,neutral,neutral
Sunrise at Badwater Canyon Dam.  #z1 #h1z1 #justsurvive #daybreak #earlyaccess #alpha #zombie #apocalypse #survival #pcgaming #gaming #mmo #developers #artdesign #graphicdesign ,0,other,unrelated,neutral,neutral
Trump needs to take action . Legally and lawfully of course.,0,other,unrelated,neutral,negative
Vox Day explains the thinking behind their new Alt-Hero comic series 'Who is Q?' GREAT #RedPill handout to the right audiences.   Written by the same guy who invented the Batman villain Bane. And there's movie interest already!,0,other,unrelated,positive,positive
Public schools are not safe. If I still had kids in school I would take them out and home  school them.,0,other,unrelated,negative,negative
"Hello Ronald & thank you for connecting on Gab.  I like to use social media to discuss spiritual, social, scientific & silly issues, also, I am starting a church.  We are the people God calls the Elect in his Word & would like to invite you to look this over and tell me what you think  @ronwagn",0,other,unrelated,positive,other
"And.. High trust is just one feature.. Just because two geographically distant cultures both have high trust, doesn't mean they share other evolutionary adaptations. Japan while high trust did not evolve towards individualism as Europeans did.",0,other,unrelated,neutral,neutral
">>jews are at bay   no, jews in power are destroying us every day",0,other,unrelated,negative,negative
